id,function,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31,x32,x33,x34,x35,x36,x37,x38,x39,x40,x41,x42,x43,x44,x45,x46,x47,x48,x49,x50,x51,x52,x53,x54,x55,x56,x57,x58,x59,x60,x61,x62,x63,x64,x65,x66,x67,x68,x69,x70,x71,x72,x73,x74,x75,x76,x77,x78,x79,x80,x81,x82,x83,x84,x85,x86,x87,x88,x89,x90,x91,x92,x93,x94,x95,x96,x97,x98,x99,x100,RHS
1,obj.,0.865888577,0.357362143,0.088804555,0.64944058,0.157270574,0.195763054,0.982422722,0.523152096,0.860710991,0.550852345,0.175715926,0.472470393,0.79476939,0.329296886,0.935492136,0.85207063,0.706647144,0.126165121,0.057782539,0.715297639,0.363161633,0.667645925,0.169368726,0.695701678,0.564667656,0.305707984,0.510556652,0.500827593,0.965358197,0.120030618,0.796479721,0.54607518,0.941483311,0.942233308,0.984099783,0.015500504,0.914873654,0.904541119,0.421934782,0.859006045,0.913770599,0.427479722,0.247969107,0.028290901,0.742528018,0.616834341,0.265444732,0.953031531,0.862788092,0.670280319,0.301481656,0.236531485,0.264923507,0.536388292,0.883844535,0.70126177,0.848136427,0.307675577,0.101070972,0.884891025,0.754645828,0.964177641,0.2021859,0.729822501,0.724836246,0.006820877,0.279477034,0.470144096,0.528956018,0.283811451,0.965147785,0.505489737,0.219382223,0.429055188,0.814708129,0.335984378,0.538084977,0.365515253,0.030266709,0.521469327,0.7623143,0.03130623,0.44181555,0.430034759,0.499547877,0.76758195,0.121126274,0.903365367,0.378548318,0.660161575,0.553126049,0.00348868,0.828023228,0.165292267,0.121238839,0.078074594,0.017181134,0.156204888,0.497256803,0.765597946,256.1626002
2,const.,0.345095654,0.16511203,0.628964212,0.524035208,0.949034952,0.172987431,0.129893708,0.771085204,0.249017733,0.410784266,0.736124353,0.768540063,0.922120218,0.009719742,0.027714093,0.900440416,0.366322227,0.793978579,0.572279346,0.377107551,0.902739204,0.132011906,0.95605428,0.595701837,0.028837219,0.736828283,0.529125949,0.762163183,0.576112673,0.637130626,0.928262375,0.231616678,0.078697799,0.716093201,0.718406895,0.123685149,0.141721111,0.665114876,0.912924364,0.59864608,0.261212591,0.644695548,0.297287583,0.223638557,0.238252847,0.889925198,0.671407067,0.545010064,0.239491271,0.620343344,0.084117354,0.822591882,0.94302021,0.697295342,0.557720633,0.969078561,0.56592932,0.11407532,0.443794068,0.968507915,0.411239094,0.123424565,0.534450434,0.303754137,0.478859592,0.524945011,0.65604696,0.559980913,0.147198064,0.188068492,0.983912737,0.406249058,0.821397422,0.380096135,0.260724844,0.397866884,0.983765757,0.658782678,0.30780632,0.866015309,0.12079159,0.119261836,0.240952592,0.290903327,0.348521447,0.077867901,0.841849576,0.276548821,0.452578772,0.4171114,0.300281927,0.289747929,0.965272189,0.266640734,0.91060059,0.416745666,0.902876086,0.105031435,0.101817293,0.204182038,246.1689645
3,const.,0.9604934,0.607884213,0.195013511,0.241708345,0.233678317,0.220377775,0.45644453,0.838283443,0.767714477,0.834997141,0.557798726,0.983811738,0.136262279,0.312122025,0.400249826,0.894846601,0.359489239,0.077948754,0.055102105,0.951413229,0.45123322,0.442757012,0.412340696,0.904702664,0.665316495,0.894413599,0.589418377,0.851038891,0.10536587,0.456908447,0.789438388,0.789512712,0.204528969,0.542700878,0.38135195,0.994241781,0.18545583,0.542320925,0.261648912,0.199469992,0.300835273,0.686933903,0.75752703,0.077445982,0.207681665,0.265294816,0.901767476,0.395290219,0.462973297,0.667727857,0.942780301,0.45434544,0.337669246,0.91230135,0.748005054,0.419800265,0.58958284,0.237698496,0.869159728,0.255897895,0.280267008,0.74484392,0.027603315,0.950788434,0.266999972,0.868058214,0.466177963,0.389056331,0.721552042,0.242635288,0.328089562,0.407063211,0.655695492,0.538774063,0.943232979,0.151296656,0.236751424,0.322323464,0.120158544,0.318266783,0.399331881,0.516925928,0.6827967,0.273464084,0.031134939,0.747880592,0.244541395,0.448940808,0.6632322,0.110028953,0.670305007,0.10874289,0.246857265,0.562524203,0.184392321,0.203817209,0.469865132,0.252977327,0.160614963,0.451144439,238.2483816
4,const.,0.557863454,0.327941604,0.138829303,0.168987694,0.895570955,0.443268165,0.370379489,0.045130141,0.783372424,0.805285389,0.448576546,0.820869258,0.095342685,0.602120277,0.831229694,0.808335194,0.046361897,0.647145129,0.739786483,0.512946433,0.748430464,0.500008505,0.260218631,0.417770043,0.767378542,0.934404694,0.043899017,0.394409473,0.202890041,0.231860077,0.566531344,0.0166853,0.407311796,0.644145308,0.793631288,0.070168137,0.538068526,0.538445619,0.167947765,0.189141649,0.538062936,0.669521884,0.232784437,0.894009466,0.878816546,0.853940453,0.603803748,0.366773379,0.05488475,0.783765891,0.208958264,0.128783485,0.564949881,0.205821125,0.13570004,0.235105858,0.082491878,0.87513124,0.014396332,0.098837679,0.786717997,0.735443984,0.926729171,0.744211544,0.046894894,0.957626821,0.55944891,0.348829173,0.070951396,0.532152952,0.520714615,0.463967188,0.122685247,0.73438119,0.557114026,0.932863597,0.318893781,0.891396682,0.82028752,0.626787839,0.724403446,0.622119533,0.753790405,0.1435689,0.397746493,0.217977893,0.532218993,0.206009329,0.592692932,0.9866296,0.961226153,0.974836227,0.535493307,0.080687716,0.660322393,0.913041641,0.272703816,0.343710022,0.155103565,0.778021553,247.4981507
5,const.,0.389127403,0.828291315,0.793447356,0.657714696,0.655342841,0.865002371,0.977117506,0.664014623,0.329104086,0.460497474,0.771893042,0.039817372,0.618445339,0.797860171,0.262624442,0.558831729,0.109459774,0.397974589,0.729564032,0.867491723,0.888795207,0.699276143,0.064864106,0.813683494,0.160615669,0.544754559,0.927112305,0.645857798,0.701797026,0.661497247,0.24344303,0.547262969,0.187108859,0.6001619,0.251329762,0.605361971,0.295898457,0.828966394,0.004157062,0.880517753,0.317769857,0.947934984,0.55479564,0.895781861,0.142115771,0.688181407,0.899093838,0.791910313,0.354254166,0.528604293,0.751801267,0.645779105,0.789277939,0.628520066,0.420916527,0.293444267,0.374902962,0.634863522,0.002113337,0.465317642,0.064772613,0.379249577,0.119925996,0.493867558,0.9407155,0.451018418,0.445610176,0.255455865,0.332023875,0.734338009,0.798490392,0.620190893,0.921535572,0.164181843,0.872179309,0.07040951,0.791155004,0.422176552,0.209970156,0.238559729,0.838391066,0.684834197,0.385483301,0.366519063,0.222156952,0.736345171,0.183645958,0.888002502,0.453470381,0.922356292,0.834919586,0.046865504,0.01621016,0.940787373,0.238718687,0.498615495,0.103525675,0.165393529,0.667116494,0.632788281,263.0271729
6,const.,0.276573893,0.982942028,0.498394423,0.552376023,0.496533723,0.331443594,0.141662181,0.470002039,0.87841203,0.216402937,0.874553869,0.627710897,0.401598263,0.101892583,0.422870829,0.455411049,0.672684622,0.848471595,0.765573481,0.41772105,0.368586964,0.358798708,0.518736208,0.354162927,0.841590201,0.649557834,0.293020196,0.642190286,0.448050863,0.023235294,0.099233643,0.646653149,0.870295287,0.097323752,0.614994729,0.121756419,0.075544596,0.050426846,0.965670274,0.601353041,0.214146875,0.993911777,0.508400434,0.412863187,0.934961827,0.341447042,0.025232784,0.375018149,0.315146926,0.233559444,0.111565619,0.621523225,0.153670328,0.89126441,0.398007421,0.810506965,0.626432697,0.062530052,0.543419151,0.00059096,0.074310695,0.973046889,0.07370322,0.254764136,0.723556552,0.843156527,0.446202292,0.645413962,0.762248114,0.786728416,0.639084796,0.292972979,0.145316372,0.161258213,0.159456261,0.763862096,0.406994569,0.663383584,0.334618551,0.302818311,0.955437001,0.134786343,0.795351065,0.122298466,0.231689587,0.766639412,0.171714492,0.641811935,0.436897827,0.454049465,0.646010143,0.475111429,0.075019262,0.90115949,0.126107361,0.614474416,0.39256579,0.143021223,0.06367244,0.006574502,226.2794989
7,const.,0.379646391,0.759038117,0.105560921,0.443522039,0.847542968,0.242869549,0.546902727,0.013196527,0.047361301,0.108921391,0.783408964,0.807974453,0.484068453,0.399874167,0.09567922,0.338658956,0.987607377,0.202731515,0.299260603,0.904910253,0.089168522,0.812557607,0.456625001,0.826514101,0.389158503,0.374362469,0.649593018,0.069191243,0.621317784,0.430317003,0.869582132,0.34092819,0.641517696,0.504218845,0.43196995,0.704999629,0.830525849,0.39295833,0.839155268,0.450150683,0.984602268,0.130424212,0.697891742,0.933322426,0.020486888,0.484798359,0.881015552,0.041459443,0.585530724,0.524672746,0.120673619,0.153910371,0.561915256,0.48344395,0.712101915,0.207164235,0.2900282,0.790324088,0.71486411,0.042370663,0.119192622,0.515445469,0.67148343,0.846856215,0.370891162,0.819783387,0.847042227,0.038371245,0.68921743,0.423813378,0.152844627,0.942191813,0.695737411,0.77359059,0.825472293,0.464081799,0.93966952,0.182025869,0.370723246,0.424654141,0.146724394,0.502056961,0.09133012,0.116131668,0.935454543,0.573788445,0.957688728,0.379099237,0.476912872,0.447979298,0.685668509,0.944593804,0.78059604,0.89803159,0.508766907,0.095186,0.988165193,0.52526495,0.072395811,0.256018317,251.8974487
8,const.,0.078189203,0.310991293,0.780677414,0.520026344,0.213348278,0.415738708,0.968103125,0.751370154,0.768760454,0.057214358,0.160427952,0.08083704,0.151278163,0.408630461,0.385582972,0.403446161,0.915676435,0.707865898,0.003268071,0.767160273,0.816340066,0.147877687,0.336108655,0.780209318,0.564383485,0.389646216,0.14039619,0.071687943,0.460490381,0.717945642,0.783895523,0.387037588,0.068532415,0.580959409,0.457801744,0.70818529,0.378640145,0.442279794,0.266999713,0.207268921,0.272333793,0.757814375,0.011976301,0.276189488,0.173526017,0.812266703,0.557537328,0.046669827,0.503955709,0.297185661,0.590568445,0.988011244,0.205060556,0.831795834,0.630096325,0.791492196,0.2156366,0.762893526,0.621422864,0.161023529,0.647685094,0.318175825,0.090222915,0.027896118,0.935477354,0.053212246,0.65650862,0.222008463,0.600318543,0.684202391,0.159934716,0.195221992,0.952132504,0.05371345,0.301829255,0.561835943,0.765820399,0.458652706,0.075566993,0.246411704,0.038819699,0.326261,0.294805263,0.832975105,0.114267202,0.23705595,0.381759547,0.247387831,0.847587244,0.648808829,0.244790234,0.122415541,0.135289101,0.322645595,0.632094873,0.336247072,0.282245971,0.624833264,0.356623715,0.529759326,213.131174
9,const.,0.885720124,0.892875452,0.757089094,0.981377112,0.118797777,0.098749444,0.538029936,0.505287906,0.179035116,0.930761082,0.439868859,0.172531826,0.824555019,0.819201878,0.91798906,0.149319945,0.512091624,0.506728018,0.77623225,0.901560161,0.645765545,0.849417823,0.524960204,0.517401294,0.718599995,0.322111184,0.079512593,0.852907354,0.016849934,0.641668867,0.512383701,0.945295329,0.139810702,0.812245711,0.154252458,0.268556327,0.40240326,0.06340825,0.928899996,0.312110886,0.891819798,0.311648614,0.467334191,0.64483181,0.027971559,0.400607207,0.986794712,0.563182855,0.562337494,0.647634674,0.931131851,0.684648905,0.19929195,0.159194962,0.255200826,0.285664051,0.363023458,0.198210094,0.685320212,0.408944119,0.882686742,0.192762276,0.978391662,0.315173008,0.373541911,0.353420361,0.271484844,0.581658627,0.514919803,0.27688364,0.177137589,0.86747193,0.656452327,0.700034068,0.040969658,0.924935271,0.204331277,0.926657935,0.555636689,0.574084609,0.194559359,0.65461259,0.447145124,0.932669268,0.968144136,0.232363882,0.166273345,0.351420385,0.552323742,0.5084572,0.883277705,0.301761188,0.357480111,0.286788119,0.405573275,0.642702324,0.796742437,0.341182655,0.874144068,0.629440135,260.9342586
10,const.,0.177968905,0.926486097,0.349948313,0.937707344,0.288601566,0.982970898,0.557221292,0.643459079,0.820652473,0.426930479,0.400377397,0.762611565,0.415492866,0.915271281,0.148326085,0.171648213,0.215503869,0.775958407,0.307481163,0.441798439,0.856424117,0.13902759,0.29217034,0.667651738,0.705387761,0.979497299,0.502196951,0.672370508,0.062232306,0.837589715,0.12578655,0.883444201,0.128337178,0.5774274,0.280183318,0.345278893,0.809242358,0.943912593,0.488147947,0.311520037,0.264120235,0.515198865,0.949001745,0.503555769,0.183089154,0.66185815,0.166278439,0.169002956,0.236108715,0.246447315,0.154738699,0.988402596,0.180319416,0.873689019,0.669320754,0.126589455,0.242525304,0.963446131,0.319781438,0.193728793,0.936568923,0.345369411,0.485882963,0.997384688,0.412288952,0.928959211,0.451619014,0.582547556,0.991997827,0.051596675,0.497727492,0.170702171,0.918285186,0.932135753,0.479430299,0.7613912,0.838751487,0.455727678,0.019920392,0.099964111,0.786190685,0.190570659,0.820496625,0.264426776,0.093361412,0.647608702,0.375940817,0.218375629,0.253991754,0.919400848,0.62159816,0.503243669,0.627855875,0.260460452,0.795110085,0.439714334,0.130772674,0.365809935,0.991904369,0.962896852,257.5471439
